aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
43.67	-0.12	-0.64	-0.74	-0.43	0.64	0.78	60.0	-0.09	-6.53	1.56	-2.4	-3.21	53.11	0.0	1593532703.8638127	100
44.32	-0.13	-0.64	-0.73	-0.45	0.63	0.76	60.0	0.08	-3.57	1.07	-2.4	-3.05	54.12	0.0	1593532703.8931766	100
45.54	-0.08	-0.68	-0.74	-0.4	0.65	0.82	60.0	-0.03	0.2	0.27	-1.19	-3.44	64.17	0.0	1593532703.9236524	100
45.73	-0.17	-0.47	-0.75	-0.43	0.64	0.77	60.0	-0.06	-9.97	3.21	-5.11	-3.24	60.87	0.0	1593532703.956796	85.25
49.19	-0.15	-0.54	-0.76	-0.35	0.65	0.68	60.0	0.09	2.31	1.01	2.55	-3.15	62.4	0.0	1593532703.9927251	91.82
51.09	-0.13	-0.71	-0.74	-0.29	0.63	0.77	60.0	-0.11	-10.34	-0.2	-0.64	-2.87	54.05	0.0	1593532704.0243988	97.54
56.15	-0.11	-0.77	-0.75	-0.19	0.64	0.78	60.0	-0.35	-0.24	1.66	-2.38	-3.1	61.16	0.0	1593532704.0535624	75.08
54.82	-0.15	-0.62	-0.76	-0.42	0.66	0.93	60.0	0.11	0.0	0.12	2.44	-3.63	56.6	0.0	1593532704.0841107	100
55.97	-0.14	-0.62	-0.77	-0.24	0.67	0.72	60.0	-0.37	-3.34	-0.4	-1.44	-2.78	49.62	0.0	1593532704.1157534	99.19
61.06	-0.15	-0.61	-0.75	-0.12	0.67	0.73	60.0	-0.14	-2.03	0.56	-2.38	-3.07	36.66	0.0	1593532704.146134	81.83
64.42	-0.15	-0.66	-0.75	-0.14	0.65	0.72	60.0	-0.11	-0.75	0.7	-0.78	-3.54	11.28	0.0	1593532704.184344	80.96
65.18	-0.14	-0.67	-0.74	-0.15	0.66	0.73	60.0	0.09	-7.59	-0.17	2.18	-3.33	1.6	0.0	1593532704.2145214	90.16
64.39	-0.13	-0.71	-0.75	-0.21	0.66	0.72	60.0	-0.11	-4.27	1.91	4.05	-3.33	1.15	0.0	1593532704.2439842	100
63.76	-0.13	-0.7	-0.75	-0.21	0.65	0.72	60.0	-0.32	-1.92	0.46	-0.55	-3.24	0.82	0.0	1593532704.2745342	100
63.7	-0.13	-0.71	-0.74	-0.21	0.65	0.72	60.0	-0.11	-1.88	1.05	-0.41	-3.33	0.6	0.0	1593532704.3055947	98.88
63.18	-0.13	-0.7	-0.74	-0.21	0.66	0.73	60.0	0.06	-2.55	0.72	0.81	-3.36	2.34	0.0	1593532704.336453	100
63.07	-0.13	-0.71	-0.75	-0.21	0.66	0.72	60.0	-0.09	-1.77	0.99	-0.02	-3.25	2.9	0.0	1593532704.368267	100
63.39	-0.13	-0.7	-0.75	-0.21	0.65	0.73	60.0	-0.06	-1.57	0.84	-1.31	-3.28	4.93	0.0	1593532704.4037573	97.97
63.48	-0.14	-0.7	-0.75	-0.19	0.65	0.73	60.0	-0.26	-1.59	0.73	-0.53	-3.45	7.4	0.0	1593532704.4342244	96.94
64.25	-0.14	-0.71	-0.75	-0.17	0.66	0.73	60.0	-0.21	-5.69	0.76	1.65	-3.47	12.81	0.0	1593532704.4653635	90.93
63.56	-0.14	-0.73	-0.75	-0.22	0.65	0.73	60.0	0.12	-3.6	1.56	-1.39	-3.37	16.37	0.0	1593532704.4954848	100
62.55	-0.14	-0.72	-0.75	-0.25	0.66	0.72	60.0	0.0	0.75	1.56	-2.26	-3.27	22.84	0.0	1593532704.5262291	100
63.21	-0.13	-0.73	-0.75	-0.22	0.65	0.72	60.0	-0.34	0.44	0.96	-1.89	-3.1	35.65	0.0	1593532704.5597377	99.13
62.99	-0.14	-0.8	-0.75	-0.23	0.65	0.74	60.0	-0.37	0.26	1.19	-3.37	-3.13	46.41	0.0	1593532704.5949206	100
64.85	-0.12	-0.83	-0.75	-0.14	0.65	0.78	60.0	-0.03	1.79	0.63	-0.96	-2.85	58.31	0.0	1593532704.6256201	80.16
67.69	-0.14	-0.8	-0.74	-0.1	0.65	0.74	60.0	-0.15	8.61	-0.96	-3.47	-3.05	64.67	0.0	1593532704.6570303	87.82
67.14	-0.14	-0.6	-0.75	-0.15	0.68	0.72	60.0	0.23	0.61	1.56	-3.11	-2.73	63.08	0.0	1593532704.6873608	97.78
68.81	-0.12	-0.78	-0.75	-0.04	0.69	0.8	60.0	-0.47	-7.73	-0.9	-2.96	-3.16	67.94	0.0	1593532704.7173805	71.58
73.53	-0.17	-0.64	-0.74	0.01	0.66	0.85	60.0	-0.37	8.5	0.08	-4.12	-2.27	62.7	0.0	1593532704.7480478	63.93
80.76	-0.13	-0.67	-0.75	0.15	0.64	0.78	60.0	-0.37	-9.36	0.46	-0.35	-2.63	41.92	0.0	1593532704.7816794	54.72
83.7	-0.13	-0.56	-0.75	0.11	0.68	0.73	60.0	-0.06	-3.97	0.26	2.27	-3.15	24.63	0.0	1593532704.8098063	37.0
84.97	-0.15	-0.66	-0.74	0.07	0.66	0.74	60.0	-0.08	-1.82	1.66	-0.06	-3.08	8.03	0.0	1593532704.8404858	44.45
82.33	-0.14	-0.73	-0.74	-0.04	0.65	0.74	60.0	-0.2	-9.62	0.38	14.5	-3.36	-14.26	0.0	1593532704.8716087	78.53
80.36	-0.13	-0.75	-0.74	0.03	0.65	0.72	60.0	-0.08	0.08	0.43	6.18	-2.76	1.51	0.0	1593532704.9016974	74.81
80.97	-0.14	-0.71	-0.74	0.02	0.65	0.73	60.0	-0.11	-4.06	-0.43	-7.8	-2.78	-13.95	0.0	1593532704.9332893	59.71
79.7	-0.14	-0.71	-0.74	-0.04	0.66	0.73	60.0	-0.34	-1.54	-0.46	5.25	-2.81	-7.31	0.0	1593532704.9630291	72.2
80.2	-0.14	-0.75	-0.75	0.01	0.66	0.72	60.0	-0.08	-6.11	-1.3	12.84	-2.5	-29.89	0.0	1593532704.9991632	60.12
78.57	-0.14	-0.74	-0.75	-0.03	0.65	0.68	60.0	-0.29	-9.86	-1.86	5.79	-2.76	-26.63	0.0	1593532705.030065	71.37
78.77	-0.14	-0.74	-0.75	-0.01	0.66	0.72	60.0	-0.43	-7.51	-1.3	2.17	-2.61	-29.34	0.0	1593532705.060325	59.5
78.54	-0.13	-0.73	-0.74	-0.06	0.65	0.72	60.0	-0.47	-6.23	-1.82	8.92	-2.29	-37.79	0.0	1593532705.0909424	64.16
77.05	-0.14	-0.72	-0.74	-0.05	0.65	0.71	60.0	-0.34	-4.75	-1.54	7.66	-2.81	-37.33	0.0	1593532705.1230419	69.63
77.01	-0.13	-0.72	-0.75	-0.05	0.65	0.71	60.0	-0.41	-4.0	-0.52	3.19	-2.84	-42.9	0.0	1593532705.1525297	63.7
76.3	-0.13	-0.68	-0.75	-0.06	0.65	0.71	60.0	0.0	-4.24	-0.95	2.63	-3.24	-52.26	0.0	1593532705.1904442	67.14
74.73	-0.14	-0.69	-0.75	-0.14	0.67	0.76	60.0	-0.12	1.28	0.08	0.37	-3.45	-66.26	0.0	1593532705.2206817	92.32
73.36	-0.13	-0.7	-0.75	-0.11	0.65	0.69	60.0	-0.17	-4.18	-0.21	2.82	-3.82	-78.92	0.0	1593532705.2517123	78.58
69.93	-0.13	-0.7	-0.75	-0.2	0.64	0.72	60.0	0.05	-0.24	1.82	5.3	-3.6	-85.05	0.0	1593532705.2821574	78.91
66.74	-0.13	-0.61	-0.75	-0.23	0.66	0.67	60.0	0.08	2.23	0.4	8.29	-3.24	-90.46	0.0	1593532705.3125412	100
61.35	-0.14	-0.71	-0.75	-0.37	0.66	0.74	60.0	0.11	5.15	1.56	3.51	-3.86	-87.5	0.0	1593532705.344964	94.44
59.88	-0.13	-0.63	-0.75	-0.26	0.66	0.7	60.0	0.31	-2.0	1.13	6.52	-3.1	-95.79	0.0	1593532705.3743277	100
57.57	-0.14	-0.68	-0.75	-0.43	0.66	0.69	60.0	0.21	-5.57	1.05	8.46	-3.69	-73.66	0.0	1593532705.403781	100
52.09	-0.14	-0.75	-0.75	-0.48	0.65	0.7	60.0	-0.09	4.89	0.47	0.11	-3.45	-47.21	0.0	1593532705.4352694	100
49.83	-0.14	-0.68	-0.75	-0.45	0.66	0.67	60.0	-0.12	0.08	-0.76	-0.41	-3.11	-37.04	0.0	1593532705.4650965	100
47.84	-0.14	-0.71	-0.76	-0.48	0.65	0.7	60.0	-0.29	-2.29	-0.18	1.33	-3.42	0.17	0.0	1593532705.496616	100
48.55	-0.13	-0.64	-0.75	-0.33	0.65	0.71	60.0	0.15	5.62	1.92	-12.72	-3.24	12.81	0.0	1593532705.5266087	100
50.2	-0.13	-0.62	-0.75	-0.35	0.65	0.72	60.0	-0.17	-5.53	0.29	1.88	-3.42	3.18	0.0	1593532705.558164	100
49.74	-0.13	-0.69	-0.75	-0.42	0.66	0.69	60.0	-0.06	-1.5	0.99	-6.47	-3.74	21.77	0.0	1593532705.59784	100
50.02	-0.14	-0.67	-0.75	-0.38	0.66	0.71	60.0	0.37	1.53	3.24	-14.37	-3.82	30.46	0.0	1593532705.6270175	100
51.5	-0.13	-0.65	-0.75	-0.33	0.67	0.73	60.0	0.03	0.63	1.86	-4.37	-4.05	28.06	0.0	1593532705.6587257	100
51.57	-0.14	-0.68	-0.75	-0.36	0.66	0.7	60.0	0.21	0.55	3.65	-1.07	-4.18	29.86	0.0	1593532705.687914	100
52.36	-0.13	-0.68	-0.74	-0.32	0.66	0.7	60.0	-0.08	4.09	1.4	-3.45	-3.76	36.92	0.0	1593532705.7197986	100
52.79	-0.13	-0.66	-0.74	-0.32	0.65	0.7	60.0	0.2	0.29	2.26	-8.18	-3.77	30.23	0.0	1593532705.7495987	100
52.64	-0.13	-0.69	-0.74	-0.36	0.66	0.69	60.0	-0.14	3.59	2.34	-1.98	-3.56	34.46	0.0	1593532705.7859783	100
54.55	-0.13	-0.72	-0.74	-0.29	0.66	0.75	60.0	-0.02	-2.37	0.63	-1.89	-3.19	36.76	0.0	1593532705.816055	93.52
54.95	-0.14	-0.69	-0.75	-0.35	0.64	0.75	60.0	-0.12	-3.71	2.34	-0.41	-3.3	44.7	0.0	1593532705.847782	100
53.66	-0.12	-0.72	-0.75	-0.28	0.63	0.72	60.0	0.11	1.62	1.21	-4.4	-3.05	44.52	0.0	1593532705.8769968	100
53.38	-0.15	-0.55	-0.75	-0.31	0.68	0.67	60.0	-0.15	-4.46	0.78	-4.11	-2.84	45.53	0.0	1593532705.9084277	100
56.7	-0.12	-0.75	-0.74	-0.18	0.65	0.73	60.0	-0.34	1.3	1.53	-0.87	-2.93	50.63	0.0	1593532705.9382172	74.3
63.41	-0.13	-0.69	-0.74	-0.1	0.64	0.69	60.0	-0.12	-9.45	0.38	-1.59	-3.16	47.83	0.0	1593532705.9693542	65.87
63.42	-0.14	-0.63	-0.75	-0.19	0.66	0.69	60.0	-0.12	-3.08	1.01	0.55	-3.21	36.43	0.0	1593532706.0060031	94.07
66.31	-0.14	-0.71	-0.75	-0.09	0.66	0.78	60.0	-0.27	-1.4	-0.24	2.35	-2.79	35.01	0.0	1593532706.036999	61.03
69.4	-0.13	-0.71	-0.75	-0.11	0.65	0.74	60.0	-0.17	-1.5	0.18	-2.11	-3.13	12.31	0.0	1593532706.0669942	65.9
69.78	-0.13	-0.71	-0.75	-0.11	0.66	0.71	60.0	-0.24	-0.93	-0.35	1.68	-3.05	0.85	0.0	1593532706.0965464	76.29
68.98	-0.14	-0.71	-0.74	-0.15	0.66	0.72	60.0	-0.11	-1.85	0.08	5.54	-3.19	-4.35	0.0	1593532706.128799	80.04
68.52	-0.14	-0.73	-0.75	-0.16	0.66	0.72	60.0	-0.21	-3.04	0.85	0.9	-3.31	-6.67	0.0	1593532706.1590145	84.09
68.33	-0.13	-0.72	-0.75	-0.14	0.66	0.73	60.0	-0.26	-1.34	0.23	-0.03	-3.13	-4.26	0.0	1593532706.199827	79.34
68.01	-0.13	-0.73	-0.76	-0.17	0.66	0.72	60.0	0.06	-0.96	-0.73	-1.1	-3.22	-6.15	0.0	1593532706.2282207	84.69
67.91	-0.14	-0.71	-0.75	-0.14	0.66	0.74	60.0	-0.11	-1.71	1.45	-0.41	-3.1	-5.28	0.0	1593532706.2599838	81.44
68.29	-0.13	-0.71	-0.74	-0.14	0.65	0.73	60.0	-0.21	-1.68	1.19	-0.02	-3.07	-6.76	0.0	1593532706.289373	77.42
67.33	-0.14	-0.72	-0.75	-0.16	0.66	0.72	60.0	-0.29	-2.73	-0.32	2.4	-3.11	-6.81	0.0	1593532706.3202376	82.4
67.25	-0.14	-0.72	-0.75	-0.16	0.66	0.72	60.0	-0.08	-3.76	0.31	0.14	-3.05	-6.18	0.0	1593532706.3517003	83.17
67.52	-0.14	-0.72	-0.75	-0.15	0.65	0.71	60.0	-0.21	-4.02	-0.12	1.97	-2.93	-6.18	0.0	1593532706.3918931	80.16
66.54	-0.13	-0.72	-0.75	-0.19	0.65	0.72	60.0	-0.24	-1.88	-0.44	1.31	-2.64	-9.86	0.0	1593532706.4234235	85.55
66.24	-0.14	-0.71	-0.75	-0.18	0.65	0.73	60.0	-0.35	-0.7	0.17	-0.47	-3.04	-2.56	0.0	1593532706.4532409	85.84
66.67	-0.13	-0.72	-0.74	-0.17	0.65	0.71	60.0	-0.11	-1.76	0.17	0.56	-2.95	-5.24	0.0	1593532706.48301	78.99
66.67	-0.14	-0.72	-0.75	-0.17	0.65	0.71	60.0	-0.24	-1.63	-0.66	2.23	-3.08	-8.46	0.0	1593532706.5134544	83.1
66.2	-0.13	-0.72	-0.75	-0.17	0.65	0.72	60.0	-0.18	-1.98	-0.32	0.73	-3.11	-4.18	0.0	1593532706.544171	87.69
66.49	-0.13	-0.72	-0.75	-0.16	0.66	0.71	60.0	-0.11	-3.05	0.14	2.14	-2.85	-10.79	0.0	1593532706.5755436	81.04
65.55	-0.13	-0.72	-0.74	-0.19	0.65	0.72	60.0	-0.2	-1.79	0.08	5.16	-3.1	-2.93	0.0	1593532706.608948	89.37
65.86	-0.14	-0.73	-0.74	-0.17	0.65	0.71	60.0	-0.08	-2.96	0.17	2.44	-2.87	-6.72	0.0	1593532706.6392658	80.85
65.53	-0.14	-0.71	-0.75	-0.19	0.64	0.71	60.0	-0.09	-2.81	-0.18	2.31	-3.25	-7.16	0.0	1593532706.668647	87.78
65.1	-0.13	-0.73	-0.75	-0.19	0.65	0.71	60.0	-0.26	-2.98	0.31	1.31	-3.08	-4.09	0.0	1593532706.6992762	85.0
65.01	-0.13	-0.71	-0.75	-0.19	0.65	0.71	60.0	-0.15	-1.53	-0.23	1.01	-3.1	-5.25	0.0	1593532706.7299728	86.09
65.03	-0.13	-0.72	-0.75	-0.19	0.66	0.71	60.0	-0.26	-1.8	0.0	2.12	-3.22	-3.44	0.0	1593532706.7618732	84.93
65.71	-0.14	-0.71	-0.76	-0.15	0.66	0.76	60.0	-0.35	-10.61	0.14	0.87	-2.87	-18.72	0.0	1593532706.8026118	77.13
63.86	-0.13	-0.69	-0.75	-0.25	0.65	0.74	60.0	0.12	-0.93	-0.11	0.87	-3.1	0.53	0.0	1593532706.8311393	100
64.77	-0.13	-0.71	-0.75	-0.18	0.65	0.71	60.0	-0.12	-2.87	1.02	-2.09	-3.13	-3.42	0.0	1593532706.8613968	81.52
64.33	-0.14	-0.72	-0.75	-0.21	0.65	0.72	60.0	-0.12	-2.38	0.34	1.16	-3.25	-1.6	0.0	1593532706.892485	90.45
63.97	-0.13	-0.72	-0.75	-0.19	0.65	0.69	60.0	0.06	-3.13	0.63	0.47	-2.95	-2.29	0.0	1593532706.922666	82.63
63.65	-0.13	-0.72	-0.74	-0.22	0.65	0.71	60.0	-0.05	-0.85	0.15	0.79	-3.27	0.35	0.0	1593532706.955077	90.67
63.72	-0.13	-0.72	-0.75	-0.2	0.65	0.71	60.0	0.03	-1.83	0.69	-0.66	-3.42	0.61	0.0	1593532706.988308	86.1
63.88	-0.14	-0.72	-0.74	-0.21	0.65	0.71	60.0	-0.08	-2.08	0.63	-0.02	-3.21	1.19	0.0	1593532707.01815	85.39
64.12	-0.13	-0.72	-0.75	-0.2	0.64	0.71	60.0	-0.15	-1.83	0.67	-0.37	-3.18	2.49	0.0	1593532707.0515301	82.52
64.08	-0.13	-0.72	-0.75	-0.21	0.65	0.71	60.0	-0.08	-2.06	0.87	-1.37	-3.21	2.67	0.0	1593532707.079635	86.92
64.06	-0.14	-0.73	-0.75	-0.2	0.66	0.71	60.0	-0.23	-2.08	0.63	0.35	-3.4	3.91	0.0	1593532707.1099594	86.39
64.25	-0.14	-0.72	-0.75	-0.2	0.65	0.71	60.0	0.02	-2.0	0.63	-0.84	-3.24	3.44	0.0	1593532707.1406324	83.9
64.29	-0.13	-0.72	-0.75	-0.2	0.65	0.7	60.0	-0.11	-1.76	0.85	-0.7	-3.37	4.84	0.0	1593532707.1720192	85.04
64.38	-0.14	-0.72	-0.75	-0.2	0.66	0.72	60.0	-0.11	-1.73	0.84	-1.28	-3.42	3.98	0.0	1593532707.2078962	84.23
64.51	-0.13	-0.72	-0.75	-0.2	0.65	0.71	60.0	0.08	-1.86	0.79	-0.55	-3.42	3.65	0.0	1593532707.239749	83.19
64.49	-0.13	-0.72	-0.74	-0.2	0.65	0.71	60.0	-0.08	-0.73	0.89	-0.93	-3.27	1.94	0.0	1593532707.2691574	84.99
63.88	-0.14	-0.71	-0.75	-0.22	0.66	0.72	60.0	0.06	-1.82	0.72	0.79	-3.16	6.49	0.0	1593532707.3007233	90.92
64.56	-0.14	-0.72	-0.75	-0.18	0.65	0.71	60.0	-0.06	-1.05	0.55	-1.24	-3.36	2.84	0.0	1593532707.3303318	77.58
64.82	-0.13	-0.72	-0.75	-0.19	0.65	0.71	60.0	-0.2	-2.78	0.64	0.76	-3.33	2.64	0.0	1593532707.3619692	81.18
65.07	-0.14	-0.72	-0.74	-0.18	0.66	0.72	60.0	-0.11	-2.61	0.6	-1.18	-3.27	0.78	0.0	1593532707.4006255	82.15
65.08	-0.14	-0.72	-0.75	-0.19	0.65	0.72	60.0	-0.11	-2.24	0.32	-0.18	-3.15	2.24	0.0	1593532707.4314082	82.82
65.36	-0.14	-0.72	-0.74	-0.18	0.66	0.72	60.0	-0.23	-2.69	0.31	-0.43	-3.21	0.44	0.0	1593532707.463255	80.48
65.27	-0.13	-0.72	-0.75	-0.19	0.65	0.7	60.0	-0.11	-1.69	0.35	0.38	-3.28	0.32	0.0	1593532707.493215	83.01
65.3	-0.13	-0.72	-0.75	-0.19	0.65	0.72	60.0	0.03	-1.92	0.43	0.23	-3.21	0.17	0.0	1593532707.5232906	81.65
65.4	-0.13	-0.72	-0.75	-0.19	0.65	0.72	60.0	-0.12	-2.21	0.53	0.26	-3.28	0.02	0.0	1593532707.5533128	80.58
65.41	-0.14	-0.72	-0.75	-0.19	0.65	0.72	60.0	-0.06	-2.0	0.41	0.82	-3.42	-0.05	0.0	1593532707.583998	81.63
65.39	-0.13	-0.73	-0.75	-0.19	0.65	0.72	60.0	-0.24	-2.52	0.43	0.27	-3.22	-1.04	0.0	1593532707.6152122	80.61
65.18	-0.13	-0.72	-0.75	-0.19	0.65	0.71	60.0	0.0	-2.11	0.34	0.35	-3.16	-0.84	0.0	1593532707.6452458	83.72
65.28	-0.13	-0.72	-0.75	-0.19	0.66	0.72	60.0	-0.12	-1.91	0.49	0.53	-3.22	-1.45	0.0	1593532707.6754518	79.89
65.13	-0.13	-0.71	-0.75	-0.19	0.65	0.71	60.0	-0.31	-2.38	0.31	0.64	-3.27	-1.65	0.0	1593532707.705914	83.16
64.92	-0.14	-0.72	-0.75	-0.2	0.66	0.71	60.0	-0.37	-2.26	0.27	0.43	-3.3	-1.44	0.0	1593532707.7367861	81.32
64.71	-0.13	-0.72	-0.74	-0.19	0.66	0.72	60.0	-0.09	-1.82	0.23	0.53	-3.25	-1.13	0.0	1593532707.7677786	83.8
64.7	-0.13	-0.72	-0.75	-0.2	0.66	0.72	60.0	-0.31	-2.08	0.2	0.7	-3.1	-1.45	0.0	1593532707.8054206	83.45
64.88	-0.14	-0.72	-0.75	-0.2	0.65	0.71	60.0	-0.14	-2.44	0.21	0.37	-3.1	-2.26	0.0	1593532707.8362865	79.93
64.53	-0.14	-0.72	-0.75	-0.2	0.65	0.71	60.0	-0.08	-1.76	0.23	0.41	-2.95	-1.15	0.0	1593532707.8667371	83.86
64.6	-0.14	-0.71	-0.75	-0.19	0.66	0.72	60.0	-0.15	-2.2	0.43	0.08	-3.25	-1.8	0.0	1593532707.897303	81.19
