aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
-4.85	-0.13	-0.06	-0.75	-0.78	0.66	0.69	0.0	0.0	-2.06	0.6	0.15	-3.31	0.32	0.0	1593533607.8098574	0.0
-4.73	-0.12	-0.07	-0.75	-0.78	0.65	0.7	0.0	-0.27	-2.0	0.37	0.03	-3.28	0.23	0.0	1593533607.8413432	0.0
-4.58	-0.12	-0.07	-0.75	-0.78	0.65	0.7	0.0	-0.32	-2.12	0.6	0.05	-3.4	0.08	0.0	1593533607.8715289	0.0
-4.61	-0.12	-0.07	-0.75	-0.78	0.66	0.69	0.0	-0.09	-2.06	0.38	-0.14	-3.34	0.32	0.0	1593533607.9098117	0.0
-4.56	-0.12	-0.06	-0.75	-0.78	0.65	0.69	0.0	-0.26	-1.94	0.34	-0.06	-3.05	0.27	0.0	1593533607.938535	0.0
-4.71	-0.12	-0.05	-0.75	-0.78	0.65	0.69	0.0	-0.05	-2.14	0.41	0.08	-3.11	0.11	0.0	1593533607.969111	0.0
-4.63	-0.12	-0.07	-0.75	-0.78	0.66	0.7	0.0	-0.12	-2.06	0.46	0.09	-3.25	0.34	0.0	1593533607.9997473	0.0
-4.69	-0.12	-0.06	-0.75	-0.78	0.66	0.69	0.0	-0.2	-2.12	0.53	-0.02	-3.05	0.21	0.0	1593533608.030558	0.0
-4.69	-0.12	-0.06	-0.75	-0.78	0.66	0.7	0.0	-0.11	-2.08	0.12	-0.08	-3.08	0.35	0.0	1593533608.0634456	0.0
-4.73	-0.12	-0.06	-0.74	-0.79	0.66	0.69	0.0	-0.17	-2.03	0.43	-0.18	-3.16	0.31	0.0	1593533608.1035516	0.0
-4.74	-0.12	-0.06	-0.75	-0.78	0.67	0.7	0.0	-0.18	-1.91	0.5	0.08	-3.22	0.26	0.0	1593533608.1332521	0.0
-4.74	-0.12	-0.06	-0.75	-0.78	0.66	0.7	0.0	-0.09	-1.97	0.4	0.15	-3.36	0.27	0.0	1593533608.1654632	0.0
-4.74	-0.13	-0.06	-0.75	-0.78	0.65	0.7	0.0	-0.12	-2.17	0.56	0.24	-3.11	0.23	0.0	1593533608.1942723	0.0
-4.71	-0.13	-0.07	-0.75	-0.78	0.66	0.69	0.0	-0.18	-2.09	0.56	-0.03	-3.42	0.23	0.0	1593533608.2252827	0.0
-4.8	-0.13	-0.07	-0.75	-0.78	0.64	0.7	0.0	-0.06	-2.14	0.49	-0.02	-3.48	0.49	0.0	1593533608.2576537	0.0
