aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
0.09	-0.12	-0.13	-0.74	-0.82	0.65	0.62	0.0	-0.14	-0.2	0.53	-0.72	-3.24	0.49	0.0	1593521311.1581137	18.83
-0.28	-0.13	-0.14	-0.75	-0.81	0.65	0.63	0.0	-0.12	-0.79	0.6	0.09	-3.24	-0.56	0.0	1593521311.1900005	19.25
-0.24	-0.13	-0.13	-0.75	-0.83	0.66	0.63	0.0	-0.06	-2.61	0.72	-0.82	-3.36	0.78	0.0	1593521311.2193758	19.21
-0.04	-0.12	-0.14	-0.75	-0.82	0.66	0.62	0.0	-0.12	-1.6	0.76	-1.16	-3.24	0.76	0.0	1593521311.2497668	18.99
0.03	-0.12	-0.13	-0.74	-0.82	0.65	0.63	0.0	0.08	-1.51	0.5	0.29	-3.27	0.64	0.0	1593521311.2849495	18.92
0.09	-0.12	-0.13	-0.75	-0.81	0.65	0.63	0.0	-0.12	-2.08	0.84	0.47	-3.24	0.49	0.0	1593521311.316215	18.85
0.15	-0.11	-0.13	-0.75	-0.82	0.66	0.62	0.0	0.0	-2.02	0.38	-0.46	-3.27	0.67	0.0	1593521311.347363	18.78
0.15	-0.12	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.11	-1.39	0.76	-0.6	-3.13	0.82	0.0	1593521311.3771408	18.78
0.1	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	-0.15	-1.98	0.6	-0.23	-3.19	0.99	0.0	1593521311.4077792	18.83
0.02	-0.12	-0.14	-0.74	-0.82	0.65	0.63	0.0	-0.12	-1.66	0.53	-0.24	-3.22	0.46	0.0	1593521311.4385407	18.91
-0.23	-0.13	-0.13	-0.75	-0.82	0.66	0.63	0.0	-0.18	-2.09	0.43	0.12	-3.27	-0.08	0.0	1593521311.4720569	19.19
-0.04	-0.12	-0.14	-0.75	-0.82	0.65	0.63	0.0	0.0	-2.37	0.5	0.43	-3.28	0.02	0.0	1593521311.5103743	18.99
	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	-0.03	-2.67	0.43	0.37	-3.21	-0.23	0.0	1593521311.5409267	18.95
0.02	-0.12	-0.13	-0.75	-0.82	0.65	0.62	0.0	-0.24	-2.29	0.35	0.08	-3.25	-0.08	0.0	1593521311.5727508	18.93
0.01	-0.13	-0.13	-0.75	-0.82	0.66	0.63	0.0	-0.26	-1.95	0.6	0.29	-3.15	0.06	0.0	1593521311.602061	18.94
-0.08	-0.12	-0.13	-0.75	-0.82	0.65	0.62	0.0	0.02	-2.11	0.58	0.23	-3.18	-0.11	0.0	1593521311.6330976	19.04
-0.26	-0.12	-0.13	-0.75	-0.82	0.66	0.63	0.0	-0.29	-2.09	0.55	0.08	-3.39	0.43	0.0	1593521311.6638036	19.25
0.07	-0.12	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.24	-1.91	0.58	-0.02	-3.3	0.82	0.0	1593521311.7012267	18.88
0.11	-0.12	-0.13	-0.75	-0.82	0.65	0.62	0.0	-0.18	-1.91	0.58	-0.29	-3.4	0.69	0.0	1593521311.731121	18.84
0.2	-0.12	-0.13	-0.75	-0.82	0.66	0.62	0.0	-0.08	-1.82	0.53	-0.18	-3.34	1.04	0.0	1593521311.7616987	18.73
-0.07	-0.12	-0.13	-0.74	-0.82	0.65	0.63	0.0	0.12	-1.86	0.26	-0.29	-3.16	0.73	0.0	1593521311.7936804	19.03
-0.09	-0.12	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.06	-2.03	0.66	0.06	-3.24	0.27	0.0	1593521311.8231957	19.05
-0.16	-0.12	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.08	-2.14	0.23	0.43	-3.37	0.17	0.0	1593521311.854677	19.14
-0.21	-0.12	-0.13	-0.75	-0.82	0.66	0.62	0.0	-0.08	-2.15	0.44	0.21	-3.39	0.09	0.0	1593521311.8918133	19.21
-0.32	-0.12	-0.13	-0.75	-0.82	0.65	0.62	0.0	-0.06	-2.26	0.34	0.29	-3.3	0.11	0.0	1593521311.9224281	19.34
-0.07	-0.11	-0.14	-0.75	-0.82	0.66	0.63	0.0	-0.11	-2.02	0.49	0.24	-3.3	0.27	0.0	1593521311.9557033	19.07
-0.1	-0.12	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.24	-2.05	0.56	-0.08	-3.39	0.72	0.0	1593521311.9837685	19.11
0.06	-0.12	-0.14	-0.75	-0.82	0.64	0.63	0.0	-0.05	-1.59	0.61	-0.15	-3.16	1.07	0.0	1593521312.0158396	18.93
