aIMU0	accx0	accx1	accy0	accy1	accz0	accz1	aref0	gyrx0	gyrx1	gyry0	gyry1	gyrz0	gyrz1	pref0	time	u0
0.52	-0.12	-0.15	-0.75	-0.82	0.66	0.63	0.0	-0.03	-1.98	0.43	0.21	-3.28	0.2	0.0	1593518223.21962	17.93
0.48	-0.12	-0.14	-0.75	-0.81	0.65	0.63	0.0	-0.17	-2.06	0.52	0.15	-3.3	0.31	0.0	1593518223.255553	17.95
0.57	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	0.06	-2.41	0.44	0.26	-3.3	-0.03	0.0	1593518223.2871213	17.84
0.71	-0.12	-0.15	-0.75	-0.81	0.65	0.64	0.0	-0.05	-2.06	0.46	-0.06	-3.25	0.38	0.0	1593518223.3195255	17.65
0.72	-0.12	-0.14	-0.75	-0.82	0.66	0.64	0.0	-0.35	-2.09	0.34	0.55	-3.25	0.23	0.0	1593518223.348001	17.62
0.77	-0.12	-0.14	-0.75	-0.81	0.66	0.64	0.0	-0.14	-1.85	0.46	0.17	-3.16	0.21	0.0	1593518223.379523	17.53
0.73	-0.12	-0.15	-0.75	-0.8	0.66	0.63	0.0	-0.14	-2.11	0.38	0.24	-3.05	0.18	0.0	1593518223.4092877	17.55
0.97	-0.12	-0.14	-0.75	-0.81	0.66	0.64	0.0	-0.11	-1.36	0.46	-0.11	-3.15	-1.76	0.0	1593518223.4462492	17.24
0.76	-0.12	-0.15	-0.75	-0.83	0.65	0.64	0.0	0.09	-2.87	0.66	0.44	-3.18	-1.73	0.0	1593518223.4770296	17.43
0.87	-0.12	-0.14	-0.74	-0.8	0.65	0.63	0.0	-0.2	-1.94	0.67	-0.32	-3.1	-2.43	0.0	1593518223.5079453	17.29
0.8	-0.12	-0.14	-0.75	-0.82	0.66	0.63	0.0	0.08	-1.71	0.72	0.21	-3.08	-2.0	0.0	1593518223.5380313	17.32
0.36	-0.12	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.03	-1.76	0.37	0.61	-3.44	-2.55	0.0	1593518223.5703256	17.78
0.4	-0.12	-0.14	-0.75	-0.82	0.65	0.63	0.0	0.08	-0.58	0.37	1.05	-3.33	-0.34	0.0	1593518223.6007383	17.72
0.26	-0.12	-0.14	-0.75	-0.82	0.65	0.64	0.0	0.02	-3.02	0.29	0.79	-3.18	-0.43	0.0	1593518223.6336486	17.86
0.3	-0.13	-0.14	-0.75	-0.8	0.65	0.63	0.0	-0.06	0.06	0.4	-1.74	-3.24	-1.04	0.0	1593518223.6637714	17.81
0.07	-0.13	-0.14	-0.75	-0.81	0.66	0.64	0.0	-0.17	-2.58	0.35	0.84	-3.33	-0.76	0.0	1593518223.6961217	18.06
0.07	-0.12	-0.13	-0.75	-0.81	0.66	0.63	0.0	-0.2	-0.69	0.29	-1.01	-3.28	-0.21	0.0	1593518223.724632	18.05
0.19	-0.12	-0.14	-0.75	-0.81	0.65	0.63	0.0	-0.05	-1.68	0.34	-0.5	-3.05	-0.6	0.0	1593518223.7564936	17.91
0.23	-0.12	-0.13	-0.75	-0.81	0.65	0.63	0.0	0.11	-2.35	0.37	0.56	-3.21	0.26	0.0	1593518223.7858021	17.87
0.11	-0.12	-0.13	-0.75	-0.82	0.65	0.63	0.0	-0.26	-1.63	0.44	0.15	-3.36	-0.05	0.0	1593518223.8166218	17.99
0.1	-0.12	-0.13	-0.75	-0.8	0.65	0.64	0.0	-0.02	-1.15	0.63	-0.5	-3.24	-1.19	0.0	1593518223.8557003	18.0
0.02	-0.12	-0.13	-0.75	-0.81	0.66	0.64	0.0	-0.11	-2.7	0.52	0.64	-3.59	0.06	0.0	1593518223.8867102	18.08
0.06	-0.12	-0.13	-0.74	-0.81	0.65	0.64	0.0	-0.06	-2.58	0.56	0.72	-3.33	0.14	0.0	1593518223.9179668	18.04
-0.07	-0.13	-0.13	-0.75	-0.81	0.65	0.63	0.0	0.09	-1.65	0.6	-0.5	-3.3	0.02	0.0	1593518223.9493253	18.18
-0.11	-0.12	-0.13	-0.74	-0.81	0.66	0.64	0.0	-0.08	-2.44	0.79	0.03	-3.5	0.34	0.0	1593518223.97804	18.22
-0.09	-0.12	-0.13	-0.74	-0.81	0.65	0.63	0.0	0.03	-1.07	0.53	-0.21	-3.31	0.7	0.0	1593518224.0092475	18.21
-0.33	-0.12	-0.12	-0.75	-0.81	0.65	0.63	0.0	-0.12	-2.05	0.37	0.02	-3.22	0.23	0.0	1593518224.051495	18.49
-0.21	-0.13	-0.13	-0.75	-0.81	0.66	0.64	0.0	-0.26	-1.51	0.69	-0.24	-3.22	0.67	0.0	1593518224.0797687	18.35
-0.18	-0.12	-0.13	-0.75	-0.81	0.66	0.63	0.0	-0.03	-1.8	0.63	-0.06	-3.33	0.58	0.0	1593518224.1104286	18.33
-0.23	-0.12	-0.13	-0.75	-0.81	0.65	0.64	0.0	-0.12	-1.66	0.58	-0.11	-3.33	1.05	0.0	1593518224.1410744	18.4
-0.1	-0.12	-0.13	-0.75	-0.81	0.66	0.63	0.0	-0.31	-1.86	0.23	-0.23	-3.07	0.92	0.0	1593518224.1739001	18.26
-0.07	-0.13	-0.13	-0.75	-0.81	0.65	0.64	0.0	-0.17	-1.89	0.55	-0.08	-3.31	0.87	0.0	1593518224.202392	18.23
